feature,shap_importance
policy_tenure,0.018988897387341705
age_of_car,0.009146570066550399
age_of_policyholder,0.004472566820969666
population_density,0.002753255555512579
height,0.0007564192804379488
ncap_rating,0.0005704241373581676
segment_b2,0.00047010368600283324
area_cluster_c3,0.0004613788945770887
make,0.0003230782620291376
area_cluster_c14,0.00022685501771883986
airbags,0.00022661283800552907
is_day_night_rear_view_mirror,0.00018712281590561612
is_adjustable_steering,0.00011813536022790296
area_cluster_c8,0.00010827933417129944
model_m6,9.712684521377303e-05
is_parking_camera,9.042350614909532e-05
area_cluster_c5,5.319690564748636e-05
area_cluster_c2,4.528019188900321e-05
model_m5,0.0
model_m2,0.0
segment_c1,0.0
model_m7,0.0
segment_b1,0.0
area_cluster_c9,0.0
area_cluster_c7,0.0
area_cluster_c6,0.0
area_cluster_c4,0.0
area_cluster_c17,0.0
area_cluster_c22,0.0
area_cluster_c21,0.0
area_cluster_c20,0.0
area_cluster_c19,0.0
area_cluster_c18,0.0
area_cluster_c16,0.0
area_cluster_c15,0.0
area_cluster_c13,0.0
area_cluster_c12,0.0
area_cluster_c11,0.0
area_cluster_c10,0.0
is_speed_alert,0.0
is_power_steering,0.0
is_parking_sensors,0.0
model_m9,0.0
