policy_id;policy_tenure;age_of_car;age_of_policyholder;area_cluster;population_density;make;segment;model;fuel_type;max_torque;max_power;engine_type;airbags;is_esc;is_adjustable_steering;is_tpms;is_parking_sensors;is_parking_camera;rear_brakes_type;displacement;cylinder;transmission_type;gear_box;steering_type;turning_radius;length;width;height;gross_weight;is_front_fog_lights;is_rear_window_wiper;is_rear_window_washer;is_rear_window_defogger;is_brake_assist;is_power_door_locks;is_central_locking;is_power_steering;is_driver_seat_height_adjustable;is_day_night_rear_view_mirror;is_ecw;is_speed_alert;ncap_rating;is_claim
ID44581;1.16766844218235;0.07;0.298076923076923;C2;27003;1;C1;M2;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;1.2 L K12N Dualjet;2;Yes;Yes;No;Yes;Yes;Drum;1197;4;Automatic;5;Electric;4.8;3995;1735;1515;1335;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;0
ID11514;1.04025254162227;0.09;0.355769230769231;C14;7788;2;A;M3;Petrol;91Nm@4250rpm;67.06bhp@5500rpm;1.0 SCe;2;No;No;No;No;Yes;Drum;999;3;Automatic;5;Electric;5.0;3731;1579;1490;1155;No;No;No;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;2;0
ID55846;0.234349681965246;0.07;0.365384615384615;C3;4076;1;A;M1;CNG;60Nm@3500rpm;40.36bhp@6000rpm;F8D Petrol Engine;2;No;No;No;Yes;No;Drum;796;3;Manual;5;Power;4.6;3445;1515;1475;1185;No;No;No;No;No;No;No;Yes;No;No;No;Yes;0;0
ID29604 ;0.515148192100768;0.0;0.423076923076923;C5;34738;1;A;M1;CNG;60Nm@3500rpm;40.36bhp@6000rpm;F8D Petrol Engine;2;No;No;No;Yes;No;Drum;796;3;Manual;5;Power;4.6;3445;1515;1475;1185;No;No;No;No;No;No;No;Yes;No;No;No;YES;0;0
ID40201;0.002833547396151;0.08;0.519230769230769;C8;8794;1;B2;M6;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;K Series Dual jet ;2;No;Yes;No;Yes;No;Drum;1197;4;Manual;5;Electric;4.8;3845;1735;1530;1335;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;0
ID08498;0.380165888385679;0.12;0.538461538461538;C2;27003;3;C2;M4;Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;0
ID34700;1.1071748894055;0.18;0.557692307692308;C8;8794;4;C1;M11;Petrol;170Nm@4000rpm;118.36bhp@5500rpm;1.5 Turbocharged Revotron;2;Yes;No;No;Yes;Yes;Drum;1199;3;Manual;6;Power;5.1;3993;1811;1606;1660;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;N0;5;0
ID43065;1.1913621689613;0.06;0.538461538461538;C7;6112;1;B2;M6;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;K Series Dual jet;2;No;Yes;No;Yes;No;Drum;1197;4;Manual;5;Electric;4.8;3845;1735;1530;1335;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;0
ID35759;0.443527465502197;0.02;0.365384615384615;C3;"";1;A;M1;CNG;60Nm@3500rpm;40.36bhp@6000rpm; F8D Petrol Engine;2;No;No;No;Yes;No;Drum;796;3;Manual;5;Power;4.6;3445;1515;1475;1185;No;No;No;No;No;No;No;Yes;No;No;No;Yes;0;1
ID29374 ;0.433678791173059;0.01;0.519230769230769;C3;4076;1;A;M1;CNG;60Nm@3500rpm;40.36bhp@6000rpm;F8D Petrol Engine;2;No;No;No;Yes;No;Drum;796;3;Manual;5;Power;4.6;3445;1515;1475;1185;No;No;No;No;No;No;No;Yes;No;No;No;Yes;0;0
ID50234;0.243741738440042;0.09;0.432692307692308;C3;4076;3;C2;M4;Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;0
ID02213;0.437609446459314;0.05;0.586538461538462;C6;13051;1;;M6;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;K Series Dual jet;2;No;Yes;No;Yes;No;Drum;1197;4;Manual;5;Electric;4.8;3845;1735;1530;1335;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;0
ID25136;0.184429358401013;0.08;0.480769230769231;C4;21622;3;C2;M4;Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;0
ID18850;0.486591422695548;0.18;0.442307692307692;C13;5410;5;C1;M9;Diesel;200Nm@1750rpm;97.89bhp@3600rpm;i-DTEC;2;No;Yes;No;Yes;Yes;Drum;1498;4;Manual;5;Electric;4.9;3995;1695;1501;1051;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;4;0
ID01669;0.410989960212564;0.01;0.596153846153846;C5;34738;2;A;M3;Petrol;91Nm@4250rpm;67.06bhp@5500rpm;1.0 SCe;2;No;No;No;No;Yes;Drum;999;3;Automatic;5;Electric;5.0;3731;1579;1490;1155;No;No;No;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;2;0
