feature,shap_importance
WORK_SENIORITY,0.016848741572504385
INCOME,0.014828584374720915
PRODUCT_f,0.014148541957956035
MARITAL_STATUS_single,0.011774065966000613
RESIDENTIAL_PLACE_owner without mortgage,0.00901342783114738
AGE,0.008960850542405393
MARITAL_STATUS_married,0.008185262666941235
HOUSEHOLD_MEMBERS,0.0040889289765317855
LENGTH_RELATIONSHIP_WITH_CLIENT,0.0034235372687594985
PRODUCT_c,0.003360009448504302
CURRENT_ACCOUNT,0.0033437543068754994
PRODUCT_b,0.0026691082335285614
EDUCATION_university,0.0024668244731100323
DEBIT_CARD,0.0021271045372315413
ECONOMIC_SECTOR_manufacturing,0.0020278214149757998
AREA_rural area,0.002023972006782553
BUSINESS AGE,0.0017238263051991291
EMPLOYEE_NO_between 21-50,0.0013834404803603761
ECONOMIC_SECTOR_missing,0.0011701158580093632
EDUCATION_post secondary school,0.001027438729507379
EDUCATION_highschool,0.0006996823906536686
EMPLOYEE_NO_between 101-250,0.0006880300138068812
NO_OF_DEPENDENTS,0.0006027584837919452
EDUCATION_other,0.0005682805272990469
SALARY_ACCOUNT,0.0005375884103435642
EDUCATION_missing,0.0005337204684777589
EMPLOYEE_NO_between 251-500,0.000528776168721144
FINALIZED_LOAN,0.0005023922240726373
ECONOMIC_SECTOR_wholesale and retail trade,0.00048218211147757245
RESIDENTIAL_PLACE_owner with mortgage,0.0003069577453691539
AREA_urban area,0.00024553282063324297
EDUCATION_vocational school,0.00020688570857371787
MARITAL_STATUS_widow,0.00013591106663543006
PRODUCT_e,0.00012344484619065978
ECONOMIC_SECTOR_transportation and storage,0.00011660012523184132
EMPLOYEE_NO_between 501-1.000,7.285419025608059e-05
ECONOMIC_SECTOR_water supply,6.610508881555668e-05
ECONOMIC_SECTOR_human health and social work activities,5.3051267490888296e-05
ECONOMIC_SECTOR_other,2.366139668046716e-05
EDUCATION_post-graduate,2.045647807580856e-05
EMPLOYEE_NO_between 51-100,1.5490206215013292e-05
"ECONOMIC_SECTOR_agriculture, hunting and forestry",1.4928158363901093e-05
ECONOMIC_SECTOR_public administration and defence,1.3286458832461467e-05
EDUCATION_middle school,9.622896559484957e-06
EMPLOYEE_NO_between 0-10,7.761640218665409e-06
ECONOMIC_SECTOR_mining and quarrying,1.7168215226118534e-06
RESIDENTIAL_PLACE_other,0.0
SAVING_ACCOUNT,0.0
FOREIGN_ACCOUNT,0.0
DEPOSIT,0.0
EMPLOYEE_NO_between 11-20,0.0
PRODUCT_d,0.0
AREA_missing,0.0
ECONOMIC_SECTOR_education,0.0
RESIDENTIAL_PLACE_rental,0.0
ECONOMIC_SECTOR_electricity and gas,0.0
"ECONOMIC_SECTOR_professional, scientific and technical activities",0.0
EDUCATION_primary school,0.0
ECONOMIC_SECTOR_information and communication,0.0
ECONOMIC_SECTOR_construction,0.0
ECONOMIC_SECTOR_financial and insurance activities,0.0
ECONOMIC_SECTOR_real estate activities,0.0
