feature,shap_importance
WORK_SENIORITY,0.01643293701222552
INCOME,0.015445708730873359
MARITAL_STATUS_single,0.01223822266926507
PRODUCT_f,0.012175802862131864
RESIDENTIAL_PLACE_owner without mortgage,0.008319745763136006
AGE,0.008079982390324722
MARITAL_STATUS_married,0.007837028811021328
HOUSEHOLD_MEMBERS,0.00427954398851624
PRODUCT_c,0.0035906313685546303
LENGTH_RELATIONSHIP_WITH_CLIENT,0.003350706604957011
CURRENT_ACCOUNT,0.0026549971145162017
PRODUCT_b,0.0026238911667267554
EDUCATION_university,0.002318291465488454
DEBIT_CARD,0.0020305463029523492
ECONOMIC_SECTOR_manufacturing,0.0018333282603863342
BUSINESS AGE,0.0017453002240292782
AREA_rural area,0.001563783082925708
ECONOMIC_SECTOR_missing,0.0015168057634189695
EMPLOYEE_NO_between 21-50,0.001453554747280677
EDUCATION_post secondary school,0.0009267370533821496
NO_OF_DEPENDENTS,0.0007658171612443894
ECONOMIC_SECTOR_wholesale and retail trade,0.0007490161187261253
EMPLOYEE_NO_between 101-250,0.0007308130630007732
EDUCATION_other,0.0005396310054804499
FINALIZED_LOAN,0.0005395179929174594
EMPLOYEE_NO_between 251-500,0.0005287845670551942
EDUCATION_highschool,0.00045486215711746265
SALARY_ACCOUNT,0.00044335616229480455
EDUCATION_missing,0.00036084913490657474
EDUCATION_vocational school,0.0002220567746208548
ECONOMIC_SECTOR_human health and social work activities,0.00021493495259552716
RESIDENTIAL_PLACE_owner with mortgage,0.00020438914808998355
PRODUCT_e,0.00015003450995824358
AREA_urban area,0.00014546918148764835
EDUCATION_post-graduate,0.00011114652341112723
MARITAL_STATUS_widow,8.053279702372136e-05
RESIDENTIAL_PLACE_other,5.541558131937787e-05
ECONOMIC_SECTOR_water supply,5.373856826060146e-05
ECONOMIC_SECTOR_transportation and storage,4.256258597653417e-05
ECONOMIC_SECTOR_other,3.9389609139520886e-05
EMPLOYEE_NO_between 501-1.000,3.606595563942443e-05
ECONOMIC_SECTOR_public administration and defence,2.2196230429146212e-05
ECONOMIC_SECTOR_construction,2.140195739612839e-05
EDUCATION_middle school,1.9260591873607957e-05
EMPLOYEE_NO_between 51-100,1.2831877140510738e-05
EMPLOYEE_NO_between 0-10,9.53151215025498e-06
ECONOMIC_SECTOR_information and communication,0.0
PRODUCT_d,0.0
"ECONOMIC_SECTOR_agriculture, hunting and forestry",0.0
SAVING_ACCOUNT,0.0
FOREIGN_ACCOUNT,0.0
EMPLOYEE_NO_between 11-20,0.0
DEPOSIT,0.0
ECONOMIC_SECTOR_education,0.0
ECONOMIC_SECTOR_mining and quarrying,0.0
ECONOMIC_SECTOR_electricity and gas,0.0
ECONOMIC_SECTOR_real estate activities,0.0
ECONOMIC_SECTOR_financial and insurance activities,0.0
"ECONOMIC_SECTOR_professional, scientific and technical activities",0.0
RESIDENTIAL_PLACE_rental,0.0
AREA_missing,0.0
EDUCATION_primary school,0.0
